country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,Massachusetts,Suffolk County,2020-02-15,6.0,-2.0,6.0,1.0,-1.0,0.0
United States,Massachusetts,Suffolk County,2020-02-16,12.0,-4.0,13.0,-2.0,1.0,0.0
United States,Massachusetts,Suffolk County,2020-02-17,3.0,-4.0,16.0,-27.0,-44.0,10.0
United States,Massachusetts,Suffolk County,2020-02-18,-7.0,-10.0,-17.0,-3.0,-8.0,3.0
United States,Massachusetts,Suffolk County,2020-02-19,0.0,-1.0,-2.0,-3.0,-7.0,2.0
United States,Massachusetts,Suffolk County,2020-02-20,0.0,-2.0,-2.0,-2.0,-6.0,2.0
United States,Massachusetts,Suffolk County,2020-02-21,-2.0,-7.0,-9.0,-4.0,-4.0,3.0
United States,Massachusetts,Suffolk County,2020-02-22,10.0,4.0,41.0,4.0,4.0,-1.0
United States,Massachusetts,Suffolk County,2020-02-23,9.0,2.0,61.0,4.0,5.0,-1.0
United States,Massachusetts,Suffolk County,2020-02-24,3.0,2.0,50.0,2.0,4.0,-1.0
United States,Massachusetts,Suffolk County,2020-02-25,1.0,-2.0,13.0,2.0,3.0,0.0
United States,Massachusetts,Suffolk County,2020-02-26,2.0,1.0,4.0,6.0,2.0,0.0
United States,Massachusetts,Suffolk County,2020-02-27,7.0,1.0,5.0,7.0,1.0,0.0
United States,Massachusetts,Suffolk County,2020-02-28,8.0,3.0,3.0,8.0,4.0,0.0
United States,Massachusetts,Suffolk County,2020-02-29,17.0,5.0,66.0,13.0,2.0,-1.0
United States,Massachusetts,Suffolk County,2020-03-01,11.0,1.0,5.0,12.0,3.0,-1.0
United States,Massachusetts,Suffolk County,2020-03-02,4.0,6.0,21.0,3.0,2.0,-1.0
United States,Massachusetts,Suffolk County,2020-03-03,10.0,7.0,41.0,1.0,0.0,-1.0
United States,Massachusetts,Suffolk County,2020-03-04,0.0,2.0,1.0,-2.0,0.0,0.0
United States,Massachusetts,Suffolk County,2020-03-05,4.0,9.0,25.0,-1.0,1.0,-1.0
United States,Massachusetts,Suffolk County,2020-03-06,0.0,1.0,1.0,-3.0,2.0,1.0
United States,Massachusetts,Suffolk County,2020-03-07,7.0,6.0,21.0,-3.0,1.0,-1.0
United States,Massachusetts,Suffolk County,2020-03-08,5.0,2.0,34.0,-4.0,2.0,-1.0
United States,Massachusetts,Suffolk County,2020-03-09,8.0,9.0,98.0,-5.0,0.0,0.0
United States,Massachusetts,Suffolk County,2020-03-10,0.0,7.0,26.0,-10.0,-2.0,1.0
United States,Massachusetts,Suffolk County,2020-03-11,-2.0,15.0,13.0,-13.0,-6.0,2.0
United States,Massachusetts,Suffolk County,2020-03-12,-8.0,28.0,1.0,-21.0,-10.0,5.0
United States,Massachusetts,Suffolk County,2020-03-13,-20.0,24.0,-23.0,-30.0,-17.0,9.0
United States,Massachusetts,Suffolk County,2020-03-14,-19.0,17.0,19.0,-25.0,-8.0,4.0
United States,Massachusetts,Suffolk County,2020-03-15,-26.0,2.0,3.0,-31.0,-12.0,6.0
United States,Massachusetts,Suffolk County,2020-03-16,-27.0,9.0,-18.0,-46.0,-34.0,14.0
United States,Massachusetts,Suffolk County,2020-03-17,-45.0,-6.0,-33.0,-55.0,-48.0,21.0
United States,Massachusetts,Suffolk County,2020-03-18,-46.0,-5.0,4.0,-58.0,-50.0,21.0
United States,Massachusetts,Suffolk County,2020-03-19,-55.0,-13.0,-52.0,-65.0,-54.0,25.0
United States,Massachusetts,Suffolk County,2020-03-20,-51.0,2.0,-11.0,-64.0,-52.0,24.0
United States,Massachusetts,Suffolk County,2020-03-21,-55.0,-5.0,2.0,-60.0,-40.0,14.0
