OBJECTID,DISTRICT,STAGE,MAPNO,ARTICLE,VOLUME,SHAPE_STArea_1,SHAPE_STLength_1,Shape_Length,Shape_Area,shape_wkt
1,Charlestown Neighborhood,Adopted,2E,62,Volume III,0,0,0.08463434323778124,0.00022078472463593924,
2,Leather District,Adopted,1C/1G/1N,44,Volume II,0,0,0.010477924121097154,6.915893417004996e-06,
3,Harborpark: North End Waterfront,Adopted,1E-1F,42A,Volume II,0,0,0.05972787059904861,0.00010713991805090864,
4,Cambridge Street North,Adopted,1B/1J/1K/1L,47A,Volume II,0,0,0.017042557837190542,8.106978786781766e-06,
5,Harborpark: Charlestown Waterfront,Adopted,2B/2C,42F,Volume II,0,0,0.1277765067337769,0.00028390709742081346,
6,Chinatown,Adopted,1C/1G/1N,43,Volume II,0,0,0.03502724367546427,3.821286731663786e-05,
7,Central Artery Special,Adopted,1Xa-1Xb,49,Volume II,0,0,0.05649295601346142,2.4088102152160456e-05,
8,Audbon Circle Neighborhood,Adopted,1M,61,Volume III,0,0,0.021101242689190444,1.09309423727535e-05,
9,Bay Village Neighborhood,Adopted,1C/1G/1N,63,Volume III,0,0,0.015276236608400657,1.0115484292971862e-05,
10,Midtown Cultural,Adopted,1A,38,Volume II,0,0,0.04368997211178706,4.016189789661914e-05,
11,Harborpark: Dorchester Bay/Neponset River Waterfront,Adopted,"4B-4D, 5F-5H",42A,Volume II,0,0,0.3968425199740264,0.00140074168066335,
12,Mission Hill Neighborhood,Adopted,6D,59,Volume III,0,0,0.06722456371295023,0.00016446644870010866,
13,South Station Economic Development Area,Adopted,1C/1G/1N,40,Volume II,0,0,0.02368584692461609,1.356011587249911e-05,
14,North Station Economic Development Area,Adopted,1B,39,Volume II,0,0,0.02749266620195224,3.3245859855552765e-05,
15,Huntington Avenue/Prudential Center,Adopted,1D,41,Volume II,0,0,0.034194677414690566,4.8434275250208284e-05,
16,Harborpark: Fort Point Waterfront,Adopted,4A/4B,42E,Volume II,0,0,0.05204424515497259,8.5131936930874e-05,
17,Greater Mattapan Neighborhood,Adopted,8ABC,60,Volume III,0,0,0.2842640437598589,0.0009521976922740638,
18,Fenway Neighborhood,Adopted,1Q,66,Volume III,0,0,0.05847574068483217,0.00016023378542174267,
19,Allston/Brighton Neighborhood,Adopted,7A-7D,51,Volume III,0,0,0.18726384072117822,0.0012976792911018509,
20,Roslindale Neighborhood,Adopted,10A-10B,67,Volume III,0,0,0.16847745067745315,0.0007092469459762244,
21,Hyde Park Neighborhood,Adopted,12,69,Volume III,0,0,0.20845159378280706,0.0012922518436973588,
22,South Boston,Interim,4,Underlying Zoning,Volume I,0,0,0.19362751739462852,0.00032565537860162157,
23,West Roxbury Neighborhood,Adopted,11A-11E,56,Volume III,0,0,0.21439054602116403,0.0015406487452858703,
24,Dorchester Neighborhood,Adopted,5A-5E,65,Volume III,0,0,0.266427984385898,0.001787407449919333,
25,Jamaica Plain Neighborhood,Adopted,9A-9C,55,Volume III,0,0,0.1800552958683962,0.0011134230248953682,
26,East Boston Neighborhood,Adopted,3A-3C,53,Volume III,0,0,0.23552960012510007,0.0017221766581801967,
27,South Boston Neighborhood,Adopted,4F,68,Volume III,0,0,0.1175458691645946,0.00031476826254832574,
28,South End Neighborhood,Adopted,1P,64,Volume III,0,0,0.05805096776894223,0.00020434998175198365,
29,North End Neighborhood,Adopted,1B/1J/1K/1L,54,Volume III,0,0,0.02529382959057861,4.21294235509981e-05,
30,Bulfinch Triangle,Adopted,1B/1J/1K/1L,46,Volume II,0,0,0.01566321351537058,1.0855278453648257e-05,
31,Government Center/Markets,Adopted,1H,45,Volume II,0,0,0.04640432572436502,5.561687118183987e-05,
32,Boston Harbor,Interim,2A,Underlying Zoning,Volume I,0,0,0.3750283655966929,0.006257629709946846,
33,Boston Proper,Interim,1,Underlying Zoning,Volume I,0,0,0.25939940559674346,0.0005208465405058819,
34,Boston Proper,Interim,1,Underlying Zoning,Volume I,0,0,0.010763275759203859,2.386160871293491e-06,
35,Stuart Street District,Adopted,1S,48,Volume I,0,0,0.01735341169684776,1.4313235199531312e-05,
36,Newmarket 21st Century Industrial District,Adopted,6E,90,Volume III,0,0,0.05448801602733632,8.460425585704461e-05,
37,Roxbury Neighborhood,Adopted,6A/6B/6C,50,Volume III,0,0,0.13279142291641827,0.000770317252598226,
38,Boston Zoning Code,Adopted,8ABC,Underlying Zoning,Volume III,0,0,0.008130203351701793,1.4756486163982961e-06,
39,Boston Zoning Code,Adopted,8ABC,Underlying Zoning,Volume III,0,0,0.018946002254858475,7.710461411825396e-06,
40,Boston Zoning Code,Adopted,8ABC,Underlying Zoning,Volume III,0,0,0.08006486568410634,4.6155671291662964e-05,
